MountainRange,year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa),Date,Month
CMPR,2019,144,50803.19922,0,499.2000122,0,17.5,6,360,2019-05-24,5
CMPR,2019,145,50803.19922,0,499.2000122,0,19.5,8,400,2019-05-25,5
CMPR,2019,146,50803.19922,0,499.2000122,0,18.5,7,360,2019-05-26,5
CMPR,2019,147,50803.19922,0,537.5999756,0,18,5,320,2019-05-27,5
CMPR,2019,148,50803.19922,0,556.7999878,0,20.5,6.5,360,2019-05-28,5
CMPR,2019,149,51148.80078,0,521.5999756,0,22.5,10,440,2019-05-29,5
CMPR,2019,150,51148.80078,0,528,0,25,12,520,2019-05-30,5
CMPR,2019,151,51148.80078,0,528,0,26,13,560,2019-05-31,5
CMPR,2019,152,51148.80078,0,518.4000244,0,25.5,13,560,2019-06-01,6
CMPR,2019,153,51148.80078,0,528,0,26,13,560,2019-06-02,6
CMPR,2019,154,51148.80078,0,556.7999878,0,28,13.5,560,2019-06-03,6
CMPR,2019,155,51494.39844,0,560,0,30,15,640,2019-06-04,6
CMPR,2019,156,51494.39844,0,544,0,32.5,18,800,2019-06-05,6
CMPR,2019,157,51494.39844,0,476.7999878,0,31.5,20,880,2019-06-06,6
CMPR,2019,158,51494.39844,0,483.2000122,0,29.5,18,800,2019-06-07,6
CMPR,2019,159,51494.39844,0,550.4000244,0,29.5,15,640,2019-06-08,6
CMPR,2019,160,51494.39844,0,505.6000061,0,28.5,16,680,2019-06-09,6
CMPR,2019,161,51494.39844,0,534.4000244,0,31,17,720,2019-06-10,6
CMPR,2019,162,51494.39844,0,531.2000122,0,32,18,800,2019-06-11,6
CMPR,2019,163,51494.39844,0,521.5999756,0,35,21,960,2019-06-12,6
CMPR,2019,164,51840,0,512,0,34,20.5,920,2019-06-13,6
CMPR,2019,165,51840,0,528,0,32,18,800,2019-06-14,6
CMPR,2019,166,51840,0,524.7999878,0,33.5,19.5,880,2019-06-15,6
CMPR,2019,167,51840,0,467.2000122,0,31,19.5,880,2019-06-16,6
CMPR,2019,168,51840,0,496,0,31,18.5,800,2019-06-17,6
CMPR,2019,169,51840,0,518.4000244,0,31,17.5,760,2019-06-18,6
CMPR,2019,170,51840,0,524.7999878,0,32,18,800,2019-06-19,6
CMPR,2019,171,51840,0,512,0,32,18.5,800,2019-06-20,6
CMPR,2019,172,51840,0,512,0,30,16.5,720,2019-06-21,6
CMPR,2019,173,51840,0,460.7999878,0,28.5,17,720,2019-06-22,6
CMPR,2019,174,51840,0,528,0,29.5,15,640,2019-06-23,6
CMPR,2019,175,51840,0,492.7999878,0,30.5,17.5,760,2019-06-24,6
CMPR,2019,176,51840,0,492.7999878,0,30.5,17.5,760,2019-06-25,6
CMPR,2019,177,51840,0,483.2000122,0,29.5,17,720,2019-06-26,6
CMPR,2019,178,51840,0,483.2000122,0,29.5,17,720,2019-06-27,6
CMPR,2019,179,51840,0,524.7999878,0,31.5,17,720,2019-06-28,6
CMPR,2019,180,51840,0,476.7999878,0,31.5,19,840,2019-06-29,6
CMPR,2019,181,51494.39844,0,464,0,32.5,20.5,920,2019-06-30,6
CMPR,2019,182,51494.39844,0,486.3999939,0,33.5,20.5,920,2019-07-01,7
CMPR,2019,183,51494.39844,0,521.5999756,0,32.5,18,800,2019-07-02,7
CMPR,2019,184,51494.39844,0,489.6000061,0,31.5,18.5,800,2019-07-03,7
CMPR,2019,185,51494.39844,0,492.7999878,0,31,18,800,2019-07-04,7
CMPR,2019,186,51494.39844,0,515.2000122,0,31.5,17.5,760,2019-07-05,7
CMPR,2019,187,51494.39844,0,502.3999939,0,31.5,18,800,2019-07-06,7
CMPR,2019,188,51494.39844,0,467.2000122,0,30.5,18.5,800,2019-07-07,7
CMPR,2019,189,51494.39844,0,524.7999878,0,31,16.5,720,2019-07-08,7
CMPR,2019,190,51148.80078,0,512,0,31,17,720,2019-07-09,7
CMPR,2019,191,51148.80078,0,537.5999756,0,33,17.5,760,2019-07-10,7
CMPR,2019,192,51148.80078,0,534.4000244,0,35,19.5,880,2019-07-11,7
CMPR,2019,193,51148.80078,0,438.3999939,0,35.5,24,1160,2019-07-12,7
CMPR,2019,194,51148.80078,0,425.6000061,0,35.5,24.5,1200,2019-07-13,7
CMPR,2019,195,51148.80078,0,480,0,36.5,23.5,1120,2019-07-14,7
CMPR,2019,196,50803.19922,0,467.2000122,0,36,23.5,1120,2019-07-15,7
CMPR,2019,197,50803.19922,0,492.7999878,0,35.5,22,1000,2019-07-16,7
CMPR,2019,198,50803.19922,0,486.3999939,0,33.5,20.5,920,2019-07-17,7
CMPR,2019,199,50803.19922,0,518.4000244,0,33.5,19,840,2019-07-18,7
CMPR,2019,200,50803.19922,0,486.3999939,0,33,20,880,2019-07-19,7
CMPR,2019,201,50457.60156,0,528,0,34,19,840,2019-07-20,7
CMPR,2019,202,50457.60156,0,540.7999878,0,35,19,840,2019-07-21,7
CMPR,2019,203,50457.60156,0,454.3999939,0,34,22,1000,2019-07-22,7
CMPR,2019,204,50457.60156,0,428.7999878,0,33.5,22.5,1040,2019-07-23,7
CMPR,2019,205,50457.60156,0,387.2000122,0,32,22.5,1040,2019-07-24,7
CMPR,2019,206,50112,0,435.2000122,0,32.5,21.5,1000,2019-07-25,7
CMPR,2019,207,50112,0,448,0,33.5,22,1000,2019-07-26,7
CMPR,2019,208,50112,0,470.3999939,0,35,22.5,1040,2019-07-27,7
CMPR,2019,209,49766.39844,0,480,0,36.5,23.5,1120,2019-07-28,7
CMPR,2019,210,49766.39844,0,454.3999939,0,36.5,24.5,1200,2019-07-29,7
CMPR,2019,211,49766.39844,0,416,0,34.5,24,1160,2019-07-30,7
CMPR,2019,212,49766.39844,0,374.3999939,0,31.5,22.5,1040,2019-07-31,7
CMPR,2019,213,49420.80078,0,480,0,33.5,21,960,2019-08-01,8
CMPR,2019,214,49420.80078,0,464,0,34,22,1000,2019-08-02,8
CMPR,2019,215,49420.80078,0,473.6000061,0,35.5,23,1080,2019-08-03,8
CMPR,2019,216,49075.19922,0,460.7999878,0,36,24,1160,2019-08-04,8
CMPR,2019,217,49075.19922,0,483.2000122,0,37,24,1160,2019-08-05,8
CMPR,2019,218,49075.19922,0,377.6000061,0,33,24,1160,2019-08-06,8
CMPR,2019,219,49075.19922,0,492.7999878,0,33.5,20.5,920,2019-08-07,8
CMPR,2019,220,48729.60156,24,380.7999878,0,32.5,19,840,2019-08-08,8
CMPR,2019,221,48729.60156,0,499.2000122,0,32,19,840,2019-08-09,8
CMPR,2019,222,48729.60156,0,476.7999878,0,31,19,840,2019-08-10,8
CMPR,2019,223,48384,0,502.3999939,0,31,18,800,2019-08-11,8
CMPR,2019,224,48384,0,518.4000244,0,32,18,800,2019-08-12,8
CMPR,2019,225,48384,0,521.5999756,0,33.5,19,840,2019-08-13,8
CMPR,2019,226,48038.39844,0,524.7999878,0,35.5,20.5,920,2019-08-14,8
