Latitude: 36.0105  Longitude: -116.1015,,,,,,,,
X & Y on Lambert Conformal Conic: -1386415.58 -554789.47,,,,,,,,
Tile: 11372,,,,,,,,
Elevation: 1156 meters,,,,,,,,
All years; all variables; Daymet Software Version 4.0,,,,,,,,
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S. Kao; and B.E. Wilson. 2020. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4. ORNL DAAC; Oak Ridge; Tennessee; USA.  https://doi.org/10.3334/ORNLDAAC/1840 ,,,,,,,,
,,,,,,,,
year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2019,158,51714.98,0,374.37,0,30.22,20.56,1392.86
2019,159,51755.78,0,500.18,0,28.78,14.85,728.12
2019,160,51793.73,0,488.74,0,29.65,15.98,796.24
2019,161,51828.81,0,528.21,0,32.98,16.92,736.53
2019,162,51860.99,0,535.63,0,35.27,18.36,800.83
2019,163,51890.25,0,507.94,0,36.93,21.19,974.05
2019,164,51916.57,0,471.56,0,34.84,21.05,1080.91
2019,165,51939.92,0,504.77,0,34.72,19.29,890.12
2019,166,51960.3,0,504.56,0,35.48,19.77,910.09
2019,167,51977.68,0,429.72,0,33.73,21.34,1234.44
2019,168,51992.07,0,461.67,0,32.67,19.28,1011.73
2019,169,52003.43,0,481.89,0,34.26,19.68,970.42
2019,170,52011.78,0,484.62,0,36.23,21.68,997.03
2019,171,52017.09,0,424.85,0,34.64,22.74,1068.09
2019,172,52019.37,0,444.28,0,30.96,18.5,808.02
2019,173,52018.62,0,386.34,0,28.46,18.17,790.5
2019,174,52014.84,0,517.3,0,31.65,15.54,661.59
2019,175,52008.02,0,492.97,0,34.08,18.94,832.44
2019,176,51998.18,0,418.46,0,32.79,20.9,947.78
2019,177,51985.31,0,390.36,0,31.29,20.54,925.29
2019,178,51969.44,0,411.83,0,31.84,20.35,913.89
2019,179,51950.57,0,458.25,0,32.31,19.01,836
2019,180,51928.72,0,482.3,0,33.8,19.27,850.67
2019,181,51903.89,0,437.47,0,34.25,21.63,993.71
2019,182,51876.12,0,471.52,0,34.25,20.18,903.56
2019,183,51845.41,0,420.81,0,33.35,21.47,983.34
2019,184,51811.79,0,444.21,0,32.67,20.01,893.52
2019,185,51775.28,0,462.59,0,32.34,19.05,838.25
2019,186,51735.91,0,499.76,0,34.12,18.92,831.07
2019,187,51693.71,0,474.4,0,34.31,20.27,909.15
2019,188,51648.7,0,411.87,0,32.29,20.88,946.34
2019,189,51600.91,0,452.47,0,31.74,18.81,825.45
2019,190,51550.38,0,474.97,0,33.01,18.98,834.53
2019,191,51497.13,0,514.76,0,35.85,19.38,857.17
2019,192,51441.21,0,495.86,0,36.92,21.42,980.57
2019,193,51382.65,0,462.56,0,37.94,23.99,1158
2019,194,51321.49,0,444.44,0,38.2,25.02,1236.67
2019,195,51257.76,0,467.84,0,38.18,24.01,1159.3
2019,196,51191.51,0,455.54,0,36.98,23.58,1128.1
2019,197,51122.78,0,481.46,0,36.21,21.66,996.08
2019,198,51051.6,0,462.28,0,34.77,21.26,970.45
2019,199,50978.03,0,453.12,0,34.77,21.64,994.45
2019,200,50902.1,0,459.96,0,34.44,21.08,958.56
2019,201,50823.85,0,449.17,0,34.2,21.28,971.4
2019,202,50743.34,0,502.73,0,37.29,21.31,973.48
2019,203,50660.61,0,468.55,0,38.22,23.77,1141.47
2019,204,50575.7,0,291.91,0,34.69,26.57,1541.1
2019,205,50488.67,41.86,296.11,0,35.31,23.84,1282.69
2019,206,50399.55,25.95,231.06,0,32.65,23.34,2503.56
2019,207,50308.39,0,406.37,0,35.82,22.93,2059.66
2019,208,50215.25,0,421.5,0,37.1,23.3,2048.75
2019,209,50120.16,0,437.29,0,39.52,24.44,2120.83
2019,210,50023.18,0,409.59,0,39.11,25.49,2213.54
2019,211,49924.35,0,373.11,0,37.45,25.46,2370.92
2019,212,49823.72,0,321.51,0,34.64,24.8,2514.95
2019,213,49721.33,0,399.86,0,36.16,23.52,2035.35
2019,214,49617.24,0,457.27,0,36.83,21.65,1645.91
2019,215,49511.49,0,458.08,0,38.12,22.54,1725.61
2019,216,49404.13,0,435.04,0,37.79,23.31,1887.82
2019,217,49295.19,0,431.38,0,38.74,24.15,1992.38
2019,218,49184.74,0,349.98,0,35.12,24.15,2292.37
