rownames(marbindsheepvisitperday),tapply.marballsheepvisitsday.Freq..list.marballsheepvisitsday.Var2...,datenum
2019-05-17,#N/A,2019-05-17
2019-05-25,#N/A,2019-05-25
2019-05-26,#N/A,2019-05-26
2019-05-27,#N/A,2019-05-27
2019-05-28,#N/A,2019-05-28
2019-05-29,#N/A,2019-05-29
2019-05-30,#N/A,2019-05-30
2019-05-31,#N/A,2019-05-31
2019-06-01,#N/A,2019-06-01
2019-06-02,#N/A,2019-06-02
2019-06-03,#N/A,2019-06-03
2019-06-04,#N/A,2019-06-04
2019-06-12,#N/A,2019-06-12
2019-06-13,#N/A,2019-06-13
2019-06-14,#N/A,2019-06-14
2019-06-15,#N/A,2019-06-15
2019-06-16,#N/A,2019-06-16
2019-06-17,#N/A,2019-06-17
2019-06-18,#N/A,2019-06-18
2019-06-23,#N/A,2019-06-23
2019-06-24,#N/A,2019-06-24
2019-06-25,#N/A,2019-06-25
2019-06-30,#N/A,2019-06-30
2019-07-01,#N/A,2019-07-01
2019-07-02,#N/A,2019-07-02
2019-07-03,#N/A,2019-07-03
2019-07-04,#N/A,2019-07-04
2019-07-05,#N/A,2019-07-05
2019-07-06,#N/A,2019-07-06
2019-07-07,#N/A,2019-07-07
2019-07-08,#N/A,2019-07-08
2019-07-09,#N/A,2019-07-09
2019-07-10,#N/A,2019-07-10
2019-07-14,#N/A,2019-07-14
2019-07-15,#N/A,2019-07-15
2019-07-16,#N/A,2019-07-16
2019-07-17,#N/A,2019-07-17
2019-07-25,#N/A,2019-07-25
2019-07-26,#N/A,2019-07-26
2019-07-27,#N/A,2019-07-27
2019-07-28,#N/A,2019-07-28
2019-07-29,#N/A,2019-07-29
2019-07-30,#N/A,2019-07-30
2019-07-31,#N/A,2019-07-31
2019-08-04,#N/A,2019-08-04
2019-08-05,#N/A,2019-08-05
2019-08-06,#N/A,2019-08-06
2019-08-10,#N/A,2019-08-10
